asset,window,pnl_per_yr,sharpe,sortino,max_dd_pct,tv_dd_pct,win,pf,trades,emaExitBandPct,trailTightenTriggerPct,trailTightPct
IWM,OOS,1412,0.247,0.346,27.8,22.6,33.3,2.3,3,4.0,0.0,15.25
IWM,HOLDOUT,1031,0.213,0.304,24.8,24.7,33.3,0.28,3,4.0,0.0,15.25
IWM,RECENT,1201,0.229,0.323,47.1,24.7,33.3,1.17,6,4.0,0.0,15.25
IWM,FULL,1187,0.261,0.361,47.2,30.1,40.0,1.76,15,4.0,0.0,15.25
SPY,IS,1774,0.517,0.699,20.0,3.7,100.0,10.0,4,5.0,0.0,15.25
SPY,OOS,1742,0.376,0.498,21.4,4.6,100.0,10.0,2,5.0,0.0,15.25
SPY,HOLDOUT,3648,0.972,1.338,23.0,4.4,100.0,10.0,1,5.0,0.0,15.25
SPY,RECENT,2797,0.671,0.904,25.0,4.6,100.0,10.0,3,5.0,0.0,15.25
SPY,FULL,2141,0.576,0.778,25.0,4.6,100.0,10.0,7,5.0,0.0,15.25
QQQ,IS,2868,0.574,0.754,44.2,9.7,66.7,7.3,6,5.0,0.0,15.25
QQQ,OOS,4080,0.631,0.85,36.8,9.7,66.7,8.14,3,5.0,0.0,15.25
QQQ,HOLDOUT,5158,0.95,1.334,31.8,7.5,50.0,6.07,2,5.0,0.0,15.25
QQQ,RECENT,4676,0.79,1.086,39.5,12.2,60.0,7.38,5,5.0,0.0,15.25
QQQ,FULL,3517,0.658,0.881,44.2,12.2,63.6,7.34,11,5.0,0.0,15.25
SMH,IS,2610,0.467,0.636,43.0,20.1,36.4,2.86,11,5.0,0.0,15.25
SMH,OOS,3894,0.461,0.64,45.4,24.4,60.0,4.15,5,5.0,0.0,15.25
SMH,HOLDOUT,6458,0.713,0.994,36.3,18.4,62.5,6.79,8,5.0,0.0,15.25
SMH,RECENT,5312,0.604,0.841,46.0,26.3,61.5,5.16,13,5.0,0.0,15.25
SMH,FULL,3580,0.518,0.714,46.0,26.3,50.0,3.9,24,5.0,0.0,15.25
IWM,IS,1184,0.288,0.39,45.8,26.3,57.1,2.78,7,5.0,0.0,15.25
IWM,OOS,1293,0.23,0.322,28.4,25.0,33.3,2.0,3,5.0,0.0,15.25
IWM,HOLDOUT,789,0.165,0.235,25.4,26.0,33.3,0.26,3,5.0,0.0,15.25
IWM,RECENT,1014,0.196,0.276,48.0,26.0,33.3,1.04,6,5.0,0.0,15.25
IWM,FULL,1123,0.248,0.343,48.0,26.3,46.2,1.79,13,5.0,0.0,15.25
SPY,IS,1140,0.42,0.568,18.9,13.0,45.2,2.08,31,0.0,10.0,5.0
SPY,OOS,1587,0.488,0.645,17.2,8.6,60.0,4.26,10,0.0,10.0,5.0
SPY,HOLDOUT,2054,0.65,0.896,19.2,14.1,36.4,1.68,11,0.0,10.0,5.0
SPY,RECENT,1845,0.576,0.779,20.3,14.1,47.6,2.26,21,0.0,10.0,5.0
SPY,FULL,1393,0.481,0.65,20.3,14.1,46.2,2.17,52,0.0,10.0,5.0
QQQ,IS,2265,0.64,0.879,26.9,19.1,45.7,2.84,35,0.0,10.0,5.0
QQQ,OOS,4163,0.981,1.359,19.0,13.3,63.6,5.79,11,0.0,10.0,5.0
QQQ,HOLDOUT,5329,1.265,1.839,17.9,11.4,63.6,5.02,11,0.0,10.0,5.0
QQQ,RECENT,4808,1.138,1.618,21.4,16.3,63.6,5.34,22,0.0,10.0,5.0
QQQ,FULL,3178,0.836,1.166,26.9,19.1,52.6,3.8,57,0.0,10.0,5.0
SMH,IS,2136,0.517,0.719,32.4,27.9,46.8,2.05,47,0.0,10.0,5.0
SMH,OOS,618,0.104,0.144,36.8,34.3,46.7,1.1,15,0.0,10.0,5.0
SMH,HOLDOUT,1683,0.243,0.334,35.4,31.5,50.0,1.24,18,0.0,10.0,5.0
SMH,RECENT,1207,0.186,0.256,43.6,40.7,48.5,1.18,33,0.0,10.0,5.0
SMH,FULL,1802,0.353,0.487,43.6,40.7,47.5,1.54,80,0.0,10.0,5.0
IWM,IS,1002,0.292,0.4,24.0,16.0,36.8,1.77,38,0.0,10.0,5.0
IWM,OOS,210,0.05,0.069,20.1,12.4,22.2,1.36,9,0.0,10.0,5.0
IWM,HOLDOUT,715,0.178,0.258,19.2,15.0,46.7,1.31,15,0.0,10.0,5.0
IWM,RECENT,490,0.12,0.169,34.6,26.1,37.5,1.32,24,0.0,10.0,5.0
IWM,FULL,818,0.223,0.309,34.6,26.1,37.1,1.56,62,0.0,10.0,5.0
SPY,IS,1084,0.385,0.517,21.0,13.0,44.8,2.12,29,0.0,10.0,7.5
SPY,OOS,1948,0.529,0.707,22.1,12.2,50.0,3.61,8,0.0,10.0,7.5
SPY,HOLDOUT,2664,0.787,1.079,18.8,7.2,37.5,3.0,8,0.0,10.0,7.5
SPY,RECENT,2344,0.666,0.901,25.2,15.5,43.8,3.3,16,0.0,10.0,7.5
SPY,FULL,1537,0.498,0.671,25.2,15.5,44.4,2.58,45,0.0,10.0,7.5
QQQ,IS,2445,0.652,0.891,32.3,23.8,45.2,3.06,31,0.0,10.0,7.5
QQQ,OOS,4889,1.081,1.484,20.4,12.1,55.6,7.32,9,0.0,10.0,7.5
QQQ,HOLDOUT,4622,1.065,1.524,17.9,9.1,66.7,6.56,9,0.0,10.0,7.5
QQQ,RECENT,4741,1.072,1.504,22.9,15.2,61.1,6.95,18,0.0,10.0,7.5
QQQ,FULL,3269,0.816,1.128,32.3,23.8,51.0,4.33,49,0.0,10.0,7.5
SMH,IS,2771,0.629,0.883,26.8,20.0,43.2,2.69,37,0.0,10.0,7.5
SMH,OOS,-1577,-0.264,-0.355,46.5,38.8,46.7,1.09,15,0.0,10.0,7.5
SMH,HOLDOUT,7303,0.939,1.355,36.9,30.1,50.0,2.87,14,0.0,10.0,7.5
SMH,RECENT,3335,0.474,0.669,53.4,45.1,48.3,1.89,29,0.0,10.0,7.5
SMH,FULL,2973,0.541,0.762,53.4,45.1,45.5,2.16,66,0.0,10.0,7.5
IWM,IS,1214,0.331,0.453,24.7,15.7,28.6,1.93,35,0.0,10.0,7.5
IWM,OOS,853,0.193,0.271,20.8,12.4,12.5,1.79,8,0.0,10.0,7.5
IWM,HOLDOUT,197,0.048,0.069,14.5,14.9,46.7,1.14,15,0.0,10.0,7.5
